83332.Rv3111	P9WJR9
83332.Rv0864	P9WJR7
83332.Rv3324c	P9WJR5
83332.Rv3119	P9WJR3
83332.Rv0866	P9WJR1
83332.Rv3124	O05797
83332.Rv2453c	P9WJQ9
83332.Rv1857	P9WGU3
83332.Rv1858	P9WG13
83332.Rv1859	P9WQL3
83332.Rv0994	P9WJQ7
83332.Rv0438c	P9WJQ5
83332.Rv3206c	P9WMN7
83332.Rv1926c	P9WIP1
83332.Rv1980c	P9WIN9
83332.Rv2875	P9WNF5
83332.Rv2873	P9WNF3
83332.Rv0981	P9WGM9
83332.Rv0982	P9WGL1
83332.Rv3803c	P9WQN7
83332.Rv2878c	P9WG65
83332.Rv2174	O53508
83332.Rv2852c	P9WJP5
83332.Rv2156c	P9WMW7
83332.Rv2166c	P9WJN9
83332.Rv1229c	P9WJN7
83332.Rv0985c	P9WJN5
83332.Rv0486	P9WMY7
83332.Rv1170	P9WJN3
83332.Rv2130c	P9WJM9
83332.Rv0819	P9WJM7
83332.Rv0137c	P9WJM5
83332.Rv0535	O06401
83332.Rv2376c	P9WIN7
83332.Rv1284	P9WPJ7
83332.Rv3588c	P9WPJ9
83332.Rv0091	P9WJM3
83332.Rv3246c	P9WGM7
83332.Rv3245c	P9WGK9
83332.Rv2855	P9WHH3
83332.Rv1315	P9WJM1
83332.Rv0482	P9WJL9
83332.Rv2152c	P9WJL7
83332.Rv2155c	P9WJL5
83332.Rv2158c	P9WJL3
83332.Rv2157c	P9WJL1
83332.Rv2153c	P9WJK9
83332.Rv1338	P9WPW9
83332.Rv1492	P9WJK7
83332.Rv1493	P9WJK5
83332.Rv2985	P9WIY3
83332.Rv1160	P9WIY1
83332.Rv0413	P9WIX9
83332.Rv3908	P9WIX7
83332.Rv3589	P9WQ09
83332.Rv3910	P9WJK3
83332.Rv3083	P9WNF7
83332.Rv4014	P9WK09
83332.Rv1594	P9WJK1
83332.Rv1595	P9WJJ9
83332.Rv1596	P9WJJ7
83332.Rv2421c	P9WJJ5
83332.Rv2438c	P9WJJ3
83332.Rv1695	P9WHV7
83332.Rv1161	P9WJQ3
83332.Rv1737c	P9WJY7
83332.Rv0844c	P9WGM5
83332.Rv0845	O53857
83332.Rv1736c	P9WJQ1
83332.Rv3566c	P9WJI5
83332.Rv0669c	O06769
83332.Rv2445c	P9WJH7
83332.Rv1399c	P9WK87
83332.Rv3744	O69711
83332.Rv3433c	P9WF11
83332.Rv1151c	P9WGG3
83332.Rv3052c	P9WIZ3
83332.Rv2718c	P9WIZ1
83332.Rv0570	P9WH77
83332.Rv2837c	P71615
83332.Rv1341	P9WMR7
83332.Rv1321	P9WIY5
83332.Rv3199c	P9WIX5
83332.Rv3145	P9WIW7
83332.Rv3146	P9WJH1
83332.Rv3147	P9WJH3
83332.Rv3148	P9WJH5
83332.Rv3149	P9WIV5
83332.Rv3150	P9WIV7
83332.Rv3151	P9WIV9
83332.Rv3152	P9WIX1
83332.Rv3153	P9WJG9
83332.Rv3155	P9WIX3
83332.Rv3156	P9WIW1
83332.Rv3157	P9WIW5
83332.Rv3158	P9WIW9
83332.Rv2841c	P9WIV3
83332.Rv2533c	P9WIV1
83332.Rv0639	P9WIU9
83332.Rv2440c	P9WMT1
83332.Rv2241	P9WIS9
83332.Rv2215	P9WIS7
83332.Rv1316c	P9WJW5
83332.Rv1973	P9WJ77
83332.Rv2511	P9WIU1
83332.Rv1656	P9WIT9
83332.Rv3490	P9WN11
83332.Rv3372	P9WFZ5
83332.Rv0500	P9WHU7
