214684.XP_566939.1	Q75PN2
214684.XP_572079.1	Q9UW47
214684.XP_566525.1	A2V6A9
214684.XP_566845.1	B9U0G8
214684.XP_567800.1	E1VDC5
214684.XP_572079.1	Q9UW66
214684.XP_572079.1	Q9UW52
214684.XP_572079.1	Q9UW59
214684.XP_571099.1	Q2HYU3
214684.XP_567104.1	Q96VZ2
214684.XP_566595.1	Q8X1J5
214684.XP_572079.1	Q9UW48
214684.XP_572534.1	Q15EU6
214684.XP_566845.1	B9U0G6
214684.XP_571100.1	Q2HYU4
214684.XP_571627.1	Q2Q4R1
214684.XP_572079.1	B9TXH8
214684.XP_566685.1	Q9UVQ4
214684.XP_572079.1	Q9UW49
214684.XP_572079.1	Q9UW69
214684.XP_571804.1	Q9UW79
214684.XP_567104.1	Q96UH0
214684.XP_567454.1	Q0ZBM9
214684.XP_568789.1	Q96VZ4
214684.XP_570122.1	Q96V30
214684.XP_566845.1	B9U0I2
214684.XP_572079.1	Q9UW68
214684.XP_566939.1	O59900
214684.XP_566845.1	B9U0G2
214684.XP_568399.1	I3NP97
214684.XP_567800.1	Q75PP1
214684.XP_570114.1	Q8J0W5
214684.XP_568796.1	Q9C1G2
214684.XP_571105.1	Q49U21
214684.XP_568403.1	Q49U24
214684.XP_569542.1	Q8NKG5
214684.XP_567243.1	G3LW59
214684.XP_572813.1	Q873Y1
214684.XP_567273.1	Q49U20
214684.XP_572074.1	Q9C443
214684.XP_570114.1	Q8J0Y3
214684.XP_571804.1	Q59J38
214684.XP_567126.1	Q66PG0
214684.XP_570103.1	Q5NKK6
214684.XP_570478.1	Q5NKK1
214684.XP_570544.1	Q8J0W7
214684.XP_570688.1	Q5NKJ1
214684.XP_566845.1	B9U0I4
214684.XP_570271.1	Q96WM3
214684.XP_572121.1	Q5VJG3
