198214.SF4333	P0AF66
198214.SF3939	P0AFB7
198214.SF1875	P0AFC2
198214.SF4068	Q83IS3
198214.SF2330	Q83KB9
198214.SF1153	P0AEI9
198214.SF2509	Q83K58
198214.SF1415	Q83L76
198214.SF2364	P0AFC6
198214.SF2363	P0AFD0
198214.SF2362	Q83QS6
198214.SF2361	P0AFD3
198214.SF2359	Q7UC56
198214.SF2358	Q83QS9
198214.SF2357	P0AFD9
198214.SF2356	P0AFE3
198214.SF2355	P0AFE7
198214.SF2352	Q83QT2
198214.SF2961	P0AFF5
198214.SF3210	P0AFF9
198214.SF0353	P0A783
198214.SF4055	P0AFG2
198214.SF3223	Q83Q14
198214.SF1835	P0AFH1
198214.SF3424	P0AA21
198214.SF1259	P0A916
198214.SF0765	P0A920
198214.SF4390	Q83IH7
198214.SF1043	P67560
198214.SF1786	Q83R85
198214.SF1044	Q83RU3
198214.SF1045	P62519
198214.SF1245	P0AFH5
198214.SF4319	Q83IJ9
198214.SF1287	P0ADB0
198214.SF1743	P0C0L3
198214.SF1487	P0ADB3
198214.CP0010	Q8VSP9
198214.CP0227	Q99PZ6
198214.SF4235	Q83IM2
198214.SF0322	P0A9L9
198214.SF3899	P0A923
198214.SF0658	Q83LW9
198214.SF0556	P0A914
198214.SF0131	Q83ME5
198214.SF0130	Q83SM0
198214.SF0128	P0A793
198214.SF0362	P0A9J5
198214.SF3063	P0AFI4
198214.SF3114	Q83JJ8
198214.SF2219	P0AFI6
198214.SF3422	Q83J96
198214.SF0049	Q83SQ1
198214.SF2396	Q83QR1
198214.SF1663	P0AFI8
198214.SF2473	Q83K78
198214.SF1661	Q83KY1
198214.SF2570	Q83QK5
198214.SF4087	Q83PB5
198214.SF3923	Q83PG0
198214.SF1129	Q83RR6
198214.SF3994	P0A798
198214.SF0897	P0A9N7
198214.SF2911	P0A7A1
198214.SF1282	P0A926
198214.SF2607	P0AD43
198214.SF1955	Q83R47
198214.SF2659	P0A9K0
198214.SF4115	P0AFJ4
198214.SF4117	Q83P97
198214.SF0336	P45607
198214.SF0622	P0A9K6
198214.SF1149	Q83RR0
198214.SF1148	Q83RR1
198214.SF3731	P0A9K8
198214.SF3451	P0AC87
198214.SF2973	Q54151
198214.SF2766	Q83JY3
198214.SF4164	Q7UBC6
198214.SF1094	Q83RS9
198214.SF3100	P59252
198214.SF0928	Q83LN3
198214.SF2723	Q83JZ0
198214.SF3205	Q83JG0
198214.SF1623	P0AB70
198214.SF0553	P0AFK3
198214.SF1128	P69877
198214.SF1127	P0AFK5
198214.SF1126	Q83RR7
198214.SF1125	P0AFL0
198214.SF0951	P0AFM1
198214.SF3297	P0A8T4
198214.SF1215	P0ACC2
198214.SF0293	Q83SH9
198214.SF0292	Q7UDL2
198214.SF1394	Q83RJ2
198214.SF4318	P0A8K4
198214.SF4175	P0A7D0
198214.SF1309	P0AFM8
198214.SF1311	P0AFN5
198214.SF1527	P0A8A7
198214.SF3730	P0AAH3
198214.SF3728	P0AGI0
198214.SF3727	P0AG83
198214.SF2373	P0A9M9
198214.SF2449	Q83QP3
198214.SF2453	Q821A9
198214.SF4027	P69819
198214.SF2452	Q83QP2
198214.SF2472	P69785
198214.SF2727	P59784
198214.SF2470	P0AA09
198214.SF1207	Q83LE1
198214.SF2155	P0A437
198214.SF1411	P69800
198214.SF1410	P69804
198214.SF1490	P69794
198214.SF2832	Q83QC3
198214.SF3244	P69815
198214.SF3246	P0A9N3
198214.SF3780	P69790
198214.SF2483	Q83QN3
198214.SF2388	P0AG17
198214.SF2543	Q83QL4
198214.SF2519	P0A7E0
198214.SF4078	Q83IR9
198214.SF4332	Q83P33
198214.SF1686	P0ACP9
198214.SF1859	Q83KS0
198214.SF1232	P0A441
198214.SF1303	Q83LB6
198214.SF1304	P0A9U7
198214.SF4245	P0A789
198214.SF1068	Q83RT8
198214.SF0946	Q83RX6
198214.SF3681	Q83J15
198214.SF1285	Q83RM1
198214.SF2795	P0A7E8
198214.SF0161	P0A7F2
198214.SF4246	Q83IL8
198214.SF0434	P0AA56
198214.SF0342	P0A7G1
198214.SF0389	Q83M51
198214.SF2781	P65872
198214.SF2790	P64556
198214.SF2807	Q83JW9
198214.SF2657	P0AD52
198214.SF0054	Q7UDT5
198214.SF3245	P0A897
198214.SF2678	P0AGL6
198214.SF3826	Q83PJ3
198214.SF3208	P0A7G5
198214.SF2347	P0A8V1
198214.SF3829	Q83PJ1
198214.SF3836	P0ACQ3
198214.SF2167	P64533
198214.SF2301	P69410
198214.SF2945	Q83JS0
198214.SF0331	Q83M63
198214.SF3930	Q83IV7
198214.SF2722	P0A7G9
198214.SF3764	Q7BZ80
198214.SF2627	Q83QI6
198214.SF0417	P0A7H9
198214.SF2721	P66001
198214.SF2797	P0AG23
198214.SF1549	P0C080
198214.SF1548	P0C078
198214.CP0259	P62551
198214.SF1214	P0A7I3
198214.SF4406	Q83P06
198214.SF2100	P37781
198214.SF2099	P37782
198214.SF2098	P37783
198214.SF2095	P37786
198214.SF2097	P37784
198214.SF3980	Q83IU4
