,reaction_id,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose
205,ACALDtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
206,ACALDtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
207,ACALDtpp,,,,,,,
208,ACALDtpp_reverse,,,,,,,
209,ACANTHAT,,,,,,,
210,ACBIPGT,4.06319935979e-07,1.04288583951e-06,9.85430064664e-07,1.06269428043e-06,,9.14e-07,1.06788554862e-06
211,ACCOAC,0.000431546653966,0.000375646457681,0.00050422970769,0.0005360586,0.000515824764707,0.000507288738401,0.000571170185954
212,ACCOAL,0.0016205314,0.0010394481,0.0007959924,0.0005450644,0.0003050908,0.0012904209,0.0001270694
213,ACGAL1PPpp,,,,,,,
214,ACGAL1Ptex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
215,ACGAL1Ptex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
216,ACGALtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
217,ACGALtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
218,ACGAM1PPpp,,,,,,,
219,ACGAM1Ptex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
220,ACGAM1Ptex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
221,ACGAMK,4.11538614192e-07,3.74470371794e-07,6.57766605962e-07,5.66831687737e-07,4.73534255891e-07,4.86567149009e-07,5.50332361615e-07
222,ACGAMT,9.32563841171e-10,3.28e-07,5.08646430762e-07,2.8962818902e-07,1.39254465472e-09,1.597648131e-09,8.92601510371e-08
223,ACGAptspp,0.0021895389,0.00136191359457,0.00154569036576,0.00175695724588,0.00265558297538,0.00155072230991,0.00291105630496
224,ACGAtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
225,ACGAtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
226,ACGK,0.0001706268,0.0001392182,0.0002134515,0.0002000081,0.0002532771,0.0001922333,0.0003075409
227,ACGS,1.34808294629e-05,1.6935643577e-05,2.43955497136e-05,2.3761e-05,2.6722e-05,1.86113404539e-05,2.8993e-05
228,ACHBS,0.000253561187553,0.000308425161642,0.000213706488355,0.000380611676323,0.000306113903331,0.000326233400418,0.000314342157065
229,ACKr,0.0004151,0.000206166531153,0.0009227613,0.0003286035,0.000450617348095,0.0003917112,0.0004136819
230,ACKr_reverse,0.0004151,0.000206166531153,0.0009227613,0.0003286035,0.000450617348095,0.0003917112,0.0004136819
231,ACLS,0.000253561187553,0.000308425161642,0.000213706488355,0.000380611676323,0.000306113903331,0.000326233400418,0.000314342157065
232,ACM6PH,4.55230628737e-06,4.549e-06,4.27685337089e-06,6.39165337301e-06,3.20725365043e-06,5.60440263972e-06,2.15512781972e-06
233,ACMAMUT,5.20804013093e-07,8.13266556539e-07,4.25e-07,9.88531859628e-07,,8.79157162006e-07,1.46076618562e-06
234,ACMANAptspp,0.00104500893879,0.000728054014163,0.000717575737354,0.000951176580511,0.00173923516472,0.000835204221524,0.00171188572434
235,ACMANAtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
236,ACMANAtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
237,ACMUMptspp,0.001938082,0.0012420089,0.0013785285,0.0015973159,0.0023233086,0.0013973663,0.0026296444
238,ACMUMtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
239,ACNAMt2pp,,,,,,,
240,ACNAMtex,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
241,ACNAMtex_reverse,0.0046961238,0.0055180997,0.0056369543,0.0048173008,0.0038641146,0.0043003902,0.0040785396
242,ACNML,2.97370441498e-06,6.6267231946e-06,8.05224238149e-06,1.0801062455e-05,4.61167732476e-06,9.5806084813e-06,4.70605183742e-06
243,ACOAD1f,2.26377787911e-05,6.07036230824e-05,7.24145792435e-05,2.01036190212e-05,2.98827467953e-05,2.45562497021e-05,1.36653378459e-05
244,ACOAD1f_reverse,2.26377787911e-05,6.07036230824e-05,7.24145792435e-05,2.01036190212e-05,2.98827467953e-05,2.45562497021e-05,1.36653378459e-05
245,ACOAD2f,2.26377787911e-05,6.07036230824e-05,7.24145792435e-05,2.01036190212e-05,2.98827467953e-05,2.45562497021e-05,1.36653378459e-05
246,ACOAD2f_reverse,2.26377787911e-05,6.07036230824e-05,7.24145792435e-05,2.01036190212e-05,2.98827467953e-05,2.45562497021e-05,1.36653378459e-05
